Sample,Total Profit
0,1.4559799999988172
1,1.4559799999988172
2,1.4559799999988172
3,1.9817499999990105
4,1.4559799999988172
5,1.5125999999982014
6,1.4559799999988172
7,1.4559799999988172
8,1.4559799999988172
9,1.4559799999988172
