Day,Profit
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,-15.368640000000596
8,0.20221499999934167
9,0.20221499999934167
10,0.20221499999934167
11,0.20221499999934167
12,0.20221499999934167
13,0.20221499999934167
14,0.20221499999934167
15,0.20221499999934167
16,0.20221499999934167
17,0.20221499999934167
