Iteration,Reward
0,0.11526484884733654
1,0.11526484884733654
2,0.15216980847827952
3,0.16329184836706842
4,0.16329184836706842
5,0.16329184836706842
6,0.1705717482942635
7,0.1705717482942635
8,0.17963115820367834
9,0.17963115820367834
10,0.1705717482942635
11,0.17963115820367834
12,0.17963115820367834
13,0.20693069793068655
14,0.21249171787508103
15,0.20693069793068655
16,0.21249171787508103
17,0.2048882879511161
18,0.2048882879511161
19,0.20693069793068655
20,0.20693069793068655
21,0.20693069793068655
22,0.23265293767345965
23,0.24753624752463127
24,0.21249171787508103
25,0.23265293767345965
26,0.24753624752463127
27,0.21249171787508103
28,0.20693069793068655
29,0.21249171787508103
30,0.21249171787508103
31,0.20693069793068655
32,0.20693069793068655
33,0.21805273781947543
34,0.27689842723099867
35,0.2964529970354532
36,0.2964529970354532
37,0.2964529970354532
38,0.304359726956381
39,0.23493800765058886
40,0.18877143811226788
41,0.20697113793025734
42,0.2595075874048997
43,0.33875720661241315
44,0.3338837266611423
45,0.25131772748679615
46,0.2595075874048997
47,0.34363068656366585
48,0.25131772748679615
49,0.33875720661241315
