Day,Profit
0,0
1,0
2,0
3,0
4,0
5,-16.986385000000155
6,-33.568334999999934
7,-48.93697500000053
8,-64.50783000000047
9,-47.80454500000087
10,-31.54614500000025
11,-14.357535000001008
12,1.4155399999981455
13,-8.218168000001242
14,1.4883409999983996
15,1.4883409999983996
16,1.4883409999983996
17,1.4883409999983996
