Iteration,Reward
0,-0.39149574608501897
1,-0.3583318464166584
2,-0.08978514910211911
3,0.05783457942168942
4,0.05379020946212258
5,0.0505547094944678
6,0.05298134947019562
7,0.056621249433794936
8,0.056621249433794936
9,0.056621249433794936
10,0.056621249433794936
11,0.056621249433794936
12,0.056621249433794936
13,0.056621249433794936
14,0.056621249433794936
15,0.056621249433794936
16,0.056621249433794936
17,0.01536859984629742
18,0.01536859984629742
19,0.056621249433794936
20,0.01536859984629742
21,0.056621249433794936
22,0.056621249433794936
23,0.056621249433794936
24,0.056621249433794936
25,0.056621249433794936
26,0.056621249433794936
27,0.056621249433794936
28,0.056621249433794936
29,0.056621249433794936
30,0.056621249433794936
31,0.056621249433794936
32,0.056621249433794936
33,0.056621249433794936
34,0.056621249433794936
35,0.056621249433794936
36,0.05985674940144971
37,0.056621249433794936
38,0.05985674940144971
39,0.05985674940144971
40,0.05985674940144971
41,0.05985674940144971
42,0.05985674940144971
43,0.05912879940872879
44,0.05912879940872879
45,0.05912879940872879
46,0.05912879940872879
47,0.05985674940144971
48,0.05985674940144971
49,0.05985674940144971
50,0.05985674940144971
51,0.05985674940144971
52,0.05985674940144971
53,0.05985674940144971
54,0.05985674940144971
55,0.05985674940144971
56,0.05985674940144971
57,0.05985674940144971
58,0.05985674940144971
59,0.05985674940144971
60,0.05985674940144971
61,0.05985674940144971
62,0.05985674940144971
63,0.05985674940144971
64,0.05985674940144971
65,0.05985674940144971
66,0.05985674940144971
67,0.05985674940144971
68,0.0679455493205667
69,0.06042299939577979
70,0.05985674940144971
71,0.05985674940144971
72,0.07118104928820329
73,0.0691588693084397
74,0.07118104928820329
75,0.0691588693084397
76,0.0691588693084397
77,0.0691588693084397
78,0.0691588693084397
79,0.0691588693084397
80,0.0691588693084397
81,0.0691588693084397
82,0.0691588693084397
83,0.0691588693084397
84,0.0679455493205667
85,0.0679455493205667
86,0.0679455493205667
87,0.07522539924776356
88,0.0679455493205667
89,0.07118104928820329
90,0.07118104928820329
91,0.07118104928820329
92,0.07118104928820329
93,0.0691588693084397
94,0.0691588693084397
95,0.0691588693084397
96,0.0691588693084397
97,0.07118104928820329
98,0.0691588693084397
99,0.0691588693084397
