Iteration,Reward
0,-0.008857249911446624
1,-0.008351699916504085
2,-0.009807679901954016
3,-0.008351699916504085
4,-0.009888569901135293
5,-0.012719639872835689
6,-0.007623709923788214
7,-0.004812829951917934
8,-0.0047117499529065405
9,-0.0050352899496796475
10,-0.006450779935524156
11,-0.003255759967471514
12,0.1059425389405346
13,0.11908676880909036
14,0.11811611881881576
15,0.11908676880909036
16,0.1627660683722826
17,0.16260429837390514
18,0.14723565852761278
19,0.16446471835531276
20,0.1627660683722826
21,0.17134020828656005
22,0.1715019782849375
23,0.17061220829382268
24,0.1715019782849375
25,0.17336239826634509
26,0.17336239826634509
27,0.1715019782849375
28,0.1761934682380091
29,0.1724726282752303
30,0.17077397829220015
31,0.1715019782849375
32,0.17166374828331493
33,0.1715019782849375
34,0.1715019782849375
35,0.17336239826634509
36,0.1771641182283201
37,0.17659790823398497
38,0.17942896820566387
39,0.1761934682380091
40,0.17619346823802728
41,0.17667878823318114
42,0.1771641182283019
43,0.17926715820729147
44,0.17862008821374853
45,0.1762743482371871
46,0.17684060823152045
47,0.16826645831725795
48,0.1766788282331579
49,0.1773259482266991
50,0.17506110824934035
51,0.17376689826226788
52,0.177487728225098
53,0.16551633834477672
54,0.17845838821535773
55,0.17441402825581234
56,0.17441402825581234
57,0.17020785829787638
58,0.17538467824610512
59,0.17538467824610512
60,0.16899456831003143
61,0.16535462834641898
62,0.1634942083650296
63,0.16899456831003143
64,0.16899456831003143
65,0.1736051582639003
66,0.15669961843294866
67,0.163008898369879
68,0.15669961843294866
69,0.15483919845155927
70,0.1639795483601718
71,0.1639795483601718
72,0.15839830841597377
73,0.15653788843458435
74,0.1634942083650296
75,0.16163378838362197
76,0.16341327836583514
77,0.163898598360989
78,0.163898598360989
79,0.1708549482914259
80,0.16575901834239662
81,0.16341327836583514
82,0.16341327836583514
83,0.16341327836583514
84,0.18335206816644378
85,0.18383738816159764
86,0.18383738816159764
87,0.18739642812600732
88,0.19435271805646087
89,0.19435271805646087
90,0.18860972811387375
91,0.26221735737782154
92,0.18691110813085346
93,0.19030834809689404
94,0.18335206816644378
95,0.20672858793268017
96,0.2084272079157005
97,0.2084272079157005
98,0.2084272079157005
99,0.20672858793268017
