Sample,Total Profit
0,-20.26232499999969
1,-41.69752999999946
2,-42.182865000000675
3,-62.97096000000056
4,-83.12813800000004
5,-62.97096000000056
6,-62.97096000000056
7,-19.857884999999442
8,0.24267000000145345
9,-1.0110899999981484
