Day,Profit
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,-17.148165000000517
9,-32.719020000000455
10,-32.719020000000455
11,-16.541505000001052
12,-0.20221500000116066
13,-0.20221500000116066
14,-0.20221500000116066
15,-0.20221500000116066
16,-0.20221500000116066
17,-4.287037000001874
18,-4.287037000001874
19,-4.287037000001874
20,-4.287037000001874
21,-0.21839300000101503
22,-0.21839300000101503
23,-0.21839300000101503
