Day,Profit
0,0
1,-3.4134549999998853
2,-6.810731999999916
3,-10.361697000000277
4,-10.361697000000277
5,-14.050170000000435
6,-17.900418000001082
7,-21.7830210000011
8,-21.7830210000011
9,-24.89719200000036
10,-28.22976000000017
11,-28.22976000000017
12,-11.890470000000278
13,-0.5581199999996898
14,-0.5581199999996898
15,-0.5581199999996898
16,-4.796629000000394
17,-8.881451000001107
18,-13.200847000001886
19,-17.544510000001537
20,-0.9787380000016128
21,-5.047382000002472
22,-9.172646000002715
23,-9.172646000002715
